station_id,station_name,state,latitude,longitude,operator_id,last_verified,charger_count
271017,Evie Maffra,VICTORIA,-37.96731873526982,146.97479206718913,3398,2023-07-10T02:38:00Z,2
271014,Evie Flinders,VICTORIA,-38.474526184383976,145.0186233435888,3398,2023-07-10T02:38:00Z,2
271011,Kingston Town Shopping Centre,TASMANIA,-42.980209156103385,147.30374043545635,3398,2023-07-10T02:38:00Z,4
271006,Evie Dartmoor,VICTORIA,-37.92221290806473,141.27619651056017,3398,2024-01-05T00:51:00Z,2
271003,Evie Kerang,VICTORIA,-35.734343178074404,143.92168541640507,3398,2023-07-10T02:38:00Z,2
270996,Local Village Carrum Downs,VICTORIA,-38.08842705357127,145.1825268436774,3398,2023-07-10T02:38:00Z,4
270994,Bayside Willansby Ave,VICTORIA,-37.90610169777272,145.00363488616335,3398,2023-07-10T02:38:00Z,4
270950,JET Charge Office,VICTORIA,-37.82858393063794,144.93443851602245,3339,2023-07-10T02:38:00Z,3
270949,RMIT - City Campus,VICTORIA,-37.80624795114712,144.96401596254236,3339,2023-07-10T02:38:00Z,2
270947,Hilton Coles,WESTERN AUSTRALIA,-32.06408827282525,115.78180730214648,3339,2025-03-21T05:15:00Z,1
270936,City of Stonnington,VICTORIA,-37.8558376330929,145.0295635713096,3339,2023-07-10T02:38:00Z,2
270935,ClydeStone Square,VICTORIA,-38.09340993256419,145.34171416795755,3339,2023-07-10T02:38:00Z,2
270934,ENGIE - Bayside Centre,VICTORIA,-38.13983274747568,145.12422212753893,3339,2023-07-15T07:36:00Z,1
270933,Creswick Vicitors Information Centre,VICTORIA,-37.42256775700739,143.89407103114934,3339,2023-07-10T02:38:00Z,2
270910,Penguin Parade Car Park,VICTORIA,-38.505470002342136,145.14849508723148,3339,2023-07-10T02:38:00Z,2
270909,Engie - The Glen,VICTORIA,-37.87707026526765,145.16444504069057,3339,2023-09-28T21:51:00Z,2
270908,ENGIE - VIctoria Gardens,VICTORIA,-37.81230000849669,145.01104431147348,3339,2023-07-10T02:38:00Z,2
270905,Omeo - Tongio Road,VICTORIA,-37.10120685500498,147.5913216311938,3339,2023-07-10T02:38:00Z,2
270904,Wine by Sam,VICTORIA,-37.02797706541075,145.14294410402647,3339,2023-07-10T02:38:00Z,2
270903,Monash Caufield,VICTORIA,-37.87609755140018,145.0437890823424,3339,2023-07-10T02:38:00Z,2
270902,Yackandandah Community Development Company,VICTORIA,-36.31377673712394,146.838576031665,3339,2023-07-10T02:38:00Z,2
270847,Evie - Bright,VICTORIA,-36.72909821085958,146.9621075161064,3398,2023-07-09T10:10:00Z,2
267588,Deni RSL,NEW SOUTH WALES,-35.535453,144.967298,1,2023-06-30T17:31:00Z,1
267563,Ampol Melville ,WESTERN AUSTRALIA,-32.031412015833354,115.815207494245,3625,2023-07-28T09:03:00Z,2
267547,Bunnings Tarneit,,-37.83430858506595,144.69884313714417,3339,2023-07-13T08:06:00Z,1
267498,Evie Beaufort,VICTORIA,-37.42886557503572,143.38285570096986,3398,2023-07-10T02:38:00Z,3
267345,Chargefox Teachers Mutual Bank,NEW SOUTH WALES,-33.77239824531827,150.84348282464293,3339,2023-07-13T08:39:00Z,1
267315,Ampol Derrimut,VICTORIA,-37.80519464533884,144.75198926317552,3625,2023-07-04T03:26:00Z,2
267111,Ampol East Perth,WESTERN AUSTRALIA,-31.948662865419383,115.86948347276189,3625,2023-06-21T07:34:00Z,2
266872,Chatswood Chase Chargefox,NEW SOUTH WALES,-33.79511781061279,151.18644036778977,3339,2023-07-13T08:44:00Z,1
266767,BP Pulse,NEW SOUTH WALES,-33.36290641211102,151.44446174596283,3659,2023-08-09T11:36:00Z,2
266620,Exeter Supercharger,NEW SOUTH WALES,-34.60933240617118,150.2298476327678,23,2023-06-08T12:43:00Z,1
266586,EVIE Cameron Park,NEW SOUTH WALES,-32.8964286163983,151.59758681049271,3398,2023-09-18T17:57:00Z,2
266540,Evie Lawson,NEW SOUTH WALES,-33.72070368975226,150.4297109802278,3398,2023-07-15T13:41:00Z,4
266538,Blaxland Supercharger,NEW SOUTH WALES,-33.74525300296909,150.61025805036633,23,2023-06-08T12:45:00Z,1
266501,Campbelltown Supercharger,NEW SOUTH WALES,-34.07151792013103,150.80730085250025,23,2023-06-08T03:24:00Z,1
266500,NRMA Scone,NEW SOUTH WALES,-32.050443549876185,150.86657130895486,3388,2023-06-08T03:24:00Z,2
266499,NRMA Glen Innes,NEW SOUTH WALES,-29.738464518791687,151.7363027621517,3388,2023-06-08T03:24:00Z,2
